UserID,Probability1
3,1
4,1
10,1
14,0
16,0
23,0
29,1
33,1
37,1
45,1
47,0
54,1
55,1
60,0
68,1
79,1
90,1
93,1
98,1
101,0
107,0
109,1
113,0
116,0
118,0
119,1
120,1
126,0
131,1
134,0
135,1
137,1
139,0
140,0
141,1
142,1
152,0
162,0
164,1
168,1
172,1
173,0
176,1
179,1
181,1
182,1
183,0
186,1
189,1
192,1
193,1
194,0
196,0
197,1
198,0
201,1
204,1
205,1
210,0
213,1
216,1
221,0
234,0
237,0
241,1
246,0
258,1
261,0
262,0
271,1
279,0
280,1
288,0
291,0
296,0
301,1
305,0
306,1
310,0
313,1
315,1
317,1
318,1
319,0
321,1
323,0
324,1
325,1
326,1
327,1
328,0
331,1
340,0
342,1
344,1
346,1
347,1
358,0
368,1
369,0
382,1
383,1
384,1
385,0
386,1
392,0
396,0
397,0
399,1
400,1
402,0
404,1
405,1
410,0
412,0
415,0
416,0
418,1
419,1
421,0
422,1
424,0
437,1
440,0
442,1
443,1
447,0
448,0
449,1
453,1
465,0
467,1
468,0
470,0
472,1
476,1
484,1
486,1
487,1
492,1
494,1
495,1
503,1
505,1
514,1
516,1
518,0
521,0
523,1
529,1
531,1
533,1
534,1
536,0
545,1
549,1
553,1
555,0
561,1
562,1
563,1
567,0
569,0
570,0
575,0
577,1
579,0
581,1
582,1
583,0
590,0
598,0
600,1
603,0
604,0
606,0
619,1
621,1
622,1
623,0
627,1
633,0
636,1
639,0
643,1
653,0
654,1
660,1
681,1
685,1
691,1
696,1
698,0
699,0
700,1
703,1
705,0
707,1
708,1
711,1
712,1
716,0
719,1
722,0
724,0
727,0
730,1
736,1
743,0
753,1
755,1
765,1
774,1
775,0
778,0
784,0
788,1
789,0
791,1
797,1
798,0
800,1
802,0
807,0
810,1
811,0
820,1
821,1
822,1
823,0
824,1
826,0
828,0
831,0
832,0
833,0
834,1
837,0
838,1
841,1
843,1
844,0
850,1
853,0
855,0
856,0
860,0
864,0
868,0
875,0
876,0
877,0
879,0
889,1
890,1
894,0
896,1
897,1
904,0
905,1
907,0
909,0
913,0
925,0
926,0
927,0
928,1
931,1
932,1
934,1
935,1
939,0
941,0
942,1
947,1
948,0
950,1
951,0
958,1
959,1
960,1
966,0
975,1
985,1
992,0
993,0
994,0
995,0
998,0
1001,1
1009,0
1011,1
1012,1
1013,0
1014,0
1028,0
1032,1
1033,1
1037,0
1051,0
1052,0
1055,1
1061,0
1067,1
1071,1
1073,0
1075,0
1077,0
1078,0
1081,1
1082,0
1088,1
1094,1
1100,1
1102,1
1103,1
1112,1
1114,0
1117,1
1118,0
1127,1
1130,1
1131,0
1132,0
1136,0
1139,1
1151,1
1152,0
1153,0
1155,0
1158,0
1161,1
1165,0
1166,0
1172,1
1173,0
1177,0
1178,1
1179,0
1180,0
1181,0
1182,1
1187,1
1190,1
1194,0
1197,0
1198,0
1203,1
1206,0
1208,1
1212,1
1214,1
1217,0
1220,1
1225,1
1232,1
1234,0
1241,1
1247,1
1250,0
1251,1
1255,1
